room_id,floor,function_type,function_detail,area_m2,perimeter_m,centroid_x,centroid_y,door_count,window_count,facade_orientation,opens_to,nearest_stair_id,nearest_stair_distance_m,integration_hh,connectivity,mean_depth,step_depth_from_entrance
128,ground,lecture_studio,Tasarımda Bilg. Tekn.,42.736,27.99,155.934,29.121,1,3,SW,corridor,S_SW,0.0,1.58696884209393,1,4.127777777777778,3
129,ground,lecture_studio,Tasarımda Bilg. Tekn.,70.811,33.91,161.912,29.121,1,3,S,corridor,S_SW,5.98,1.58696884209393,1,4.127777777777778,3
130,ground,lecture_studio,Tasarımda Bilg. Tekn.,49.42,29.4,168.242,29.121,1,3,S,corridor,S_SW,12.31,1.58696884209393,1,4.127777777777778,3
131,ground,lecture_studio,Derslik / Stüdyo,30.222,22.2,187.173,47.186,1,0,interior,corridor,S_SW,36.09,1.58696884209393,1,4.127777777777778,3
132,ground,lecture_studio,Mimarlık Bölümü,69.591,34.03,189.493,32.049,1,2,S,corridor,S_SW,33.69,1.58696884209393,1,4.127777777777778,3
132A,ground,lecture_studio,Mimarlık Bölümü,45.021,26.84,198.273,32.049,1,1,S,corridor,S_SW,42.44,1.58696884209393,1,4.127777777777778,3
133,ground,office,İTÜ SEM,23.514,20.56,203.657,32.049,1,1,S,corridor,S_SW,47.81,1.58696884209393,1,4.127777777777778,3
134,ground,lecture_studio,Derslik / Stüdyo,36.775,24.94,194.433,47.186,1,0,interior,corridor,S_SW,42.53,1.58696884209393,1,4.127777777777778,3
135,ground,office,Santral,26.374,21.39,207.781,32.049,1,1,interior,corridor,S_SW,51.93,1.592626485024746,2,4.116666666666666,1
136,ground,research_centre,Konut Araştırma E.M.,66.024,37.15,205.593,47.186,2,0,interior,corridor,S_SW,52.84,1.58696884209393,1,4.127777777777778,3
137,ground,office,Güvenlik (ana giriş),10.193,12.9,212.384,30.47,1,1,S,outside,S_SW,56.47,1.207383051484976,1,5.111111111111111,0
AVLU_G,ground,courtyard,Orta Avlu,2766.756,218.14,218.318,70.728,6,0,interior,corridors_all,S_SW,74.99,2.32672775546584,25,3.133333333333333,2
201,floor1,administrative,Rektörlük,81.539,36.17,379.563,29.121,1,3,SW,corridor,S_SW,0.0,1.651503619406437,1,4.005555555555556,5
202,floor1,administrative,Rektörlük,78.952,35.62,388.377,29.121,1,3,S,corridor,S_SW,8.81,1.651503619406437,1,4.005555555555556,5
203,floor1,lecture_studio,Derslik / Stüdyo (büyük),327.967,146.53,439.843,47.186,5,0,interior,corridor,S_SW,62.93,1.651503619406437,1,4.005555555555556,5
204,floor1,faculty_room,Şehir ve Bölge Pl. Böl.,69.591,34.03,411.357,32.049,1,2,S,corridor,S_SW,31.93,1.651503619406437,1,4.005555555555556,5
205,floor1,faculty_room,Mimarlık Bölümü,45.021,26.84,420.106,32.049,1,2,S,corridor,S_SW,40.65,2.46813109972067,9,3.011111111111111,4
206,floor1,faculty_room,Şehir ve Bölge Pl. Böl.,53.414,29.3,427.829,32.049,1,2,S,corridor,S_SW,48.35,1.651503619406437,1,4.005555555555556,5
207,floor1,faculty_room,Şehir ve Bölge Pl. Böl.,100.364,43.03,439.85,32.049,1,2,S,corridor,S_SE,59.73,1.651503619406437,1,4.005555555555556,5
209,floor1,faculty_room,Mimarlık Bölümü,101.071,43.23,455.046,32.049,1,2,S,corridor,S_SE,44.56,1.551151836977226,1,4.2,5
210,floor1,faculty_room,Mimarlık Bölümü,89.872,40.59,469.567,31.981,1,2,S,corridor,S_SE,30.08,2.250537677830938,6,3.205555555555556,4
211,floor1,library,Kütüphane,163.948,53.52,495.799,29.121,2,4,SE,corridor,S_SE,3.71,1.551151836977226,1,4.2,5
212,floor1,lecture_studio,Derslik / Stüdyo,214.134,58.6,489.147,57.817,2,3,E,corridor,S_SE,30.51,1.551151836977226,1,4.2,5
213,floor1,lecture_studio,Derslik / Stüdyo,128.521,46.32,489.147,70.678,1,3,E,corridor,S_SE,42.83,1.551151836977226,1,4.2,5
214,floor1,lecture_studio,Derslik / Stüdyo,214.054,58.59,489.147,83.706,2,3,E,corridor,S_NE,30.59,1.494086050332579,1,4.322222222222222,5
215,floor1,lecture_studio,Derslik / Stüdyo,94.893,38.98,489.266,112.485,1,2,NE,corridor,S_NE,10.25,1.494086050332579,1,4.322222222222222,5
216,floor1,lecture_studio,Derslik / Stüdyo,93.417,38.67,499.512,112.485,1,2,N,corridor,S_NE,0.0,1.494086050332579,1,4.322222222222222,5
217A,floor1,lecture_studio,Derslik / Stüdyo (avlu içi),85.714,45.37,465.148,94.419,1,0,interior,corridor,S_NE,38.82,1.494086050332579,1,4.322222222222222,5
217B,floor1,lecture_studio,Derslik / Stüdyo (avlu içi),68.333,38.11,448.611,94.419,1,0,interior,corridor,S_NE,54.01,1.494086050332579,1,4.322222222222222,5
217C,floor1,lecture_studio,Derslik / Stüdyo (avlu içi),80.731,43.29,432.434,94.419,1,0,interior,corridor,S_NW,55.87,1.506683740470291,1,4.294444444444444,5
217D,floor1,lecture_studio,Derslik / Stüdyo (avlu içi),85.372,45.23,414.517,94.419,1,0,interior,corridor,S_NW,39.35,1.506683740470291,1,4.294444444444444,5
219,floor1,faculty_room,Mimarlık Bölümü,118.309,48.27,464.924,109.556,2,2,N,corridor,S_NE,34.71,1.494086050332579,1,4.322222222222222,5
220,floor1,faculty_room,İç Mimarlık + Peyzaj,54.767,29.88,451.857,110.335,1,2,N,corridor,S_NE,47.7,1.494086050332579,1,4.322222222222222,5
221,floor1,research_centre,Bilim ve Tek. Tar. Merkezi,26.89,23.32,446.834,110.335,1,1,N,corridor,S_NE,52.72,2.13237102171571,10,3.327777777777778,4
222,floor1,meeting,Toplantı Salonu,95.452,39.37,439.85,111.6,1,2,N,corridor,S_NW,60.29,1.494086050332579,1,4.322222222222222,5
223,floor1,faculty_room,Mimarlık Bölümü,83.488,36.65,429.535,110.335,2,2,N,corridor,S_NW,50.02,1.506683740470291,1,4.294444444444444,5
225,floor1,faculty_room,Mimarlık Bölümü,58.598,30.81,419.142,109.556,1,2,N,corridor,S_NW,39.69,2.158124294924837,10,3.3,4
226,floor1,faculty_room,Mimarlık Bölümü,59.712,31.14,410.494,109.556,1,2,N,corridor,S_NW,31.07,1.506683740470291,1,4.294444444444444,5
227,floor1,faculty_room,Mimarlık Bölümü,90.743,38.1,390.278,112.485,1,2,NW,corridor,S_NW,10.72,1.506683740470291,1,4.294444444444444,5
228,floor1,faculty_room,Mimarlık Bölümü,94.308,38.85,380.236,112.485,1,2,N,corridor,S_NW,0.67,1.506683740470291,1,4.294444444444444,5
229,floor1,lecture_studio,Derslik / Stüdyo,207.592,57.66,390.554,83.937,1,3,W,corridor,S_NW,30.59,1.506683740470291,1,4.294444444444444,5
230,floor1,lecture_studio,Derslik / Stüdyo,143.106,48.41,390.554,70.724,1,3,W,corridor,S_NW,43.18,1.506683740470291,1,4.294444444444444,5
231,floor1,lecture_studio,Derslik / Stüdyo,207.592,57.66,390.554,57.582,1,3,W,corridor,S_SW,30.51,1.651503619406437,1,4.005555555555556,5
301,floor2,circulation,Merdiven sahanlığı,30.315,26.89,621.878,44.854,1,0,interior,corridor,S_SW,30.34,2.891467501938131,46,2.716666666666667,5
302,floor2,lecture_studio,Derslik / Stüdyo,18.665,17.31,627.263,43.695,1,1,S,corridor,S_SW,34.2,1.830867742005907,1,3.711111111111111,6
303,floor2,lecture_studio,Derslik / Stüdyo,29.187,22.45,633.113,43.695,2,1,S,corridor,S_SW,39.38,1.830867742005907,1,3.711111111111111,6
305,floor2,lecture_studio,Derslik / Stüdyo,31.039,23.36,640.476,43.695,2,1,S,corridor,S_SW,46.12,1.830867742005907,1,3.711111111111111,6
307,floor2,lecture_studio,Derslik / Stüdyo,30.577,23.13,648.009,43.695,2,1,S,corridor,S_SW,53.19,1.830867742005907,1,3.711111111111111,6
309,floor2,lecture_studio,Derslik / Stüdyo,30.782,23.23,655.51,43.695,2,1,S,corridor,S_SW,60.34,1.830867742005907,1,3.711111111111111,6
311,floor2,lecture_studio,Derslik / Stüdyo,29.365,22.54,662.863,43.695,2,1,S,corridor,S_SE,62.92,1.776269300395393,1,3.794444444444444,6
313,floor2,lecture_studio,Derslik / Stüdyo,15.397,15.71,668.336,43.695,1,1,S,corridor,S_SE,57.67,1.776269300395393,1,3.794444444444444,6
315,floor2,lecture_studio,Derslik / Stüdyo,30.281,22.99,673.92,43.695,2,1,S,corridor,S_SE,52.36,1.776269300395393,1,3.794444444444444,6
317,floor2,lecture_studio,Derslik / Stüdyo,30.26,22.98,681.321,43.695,2,1,S,corridor,S_SE,45.43,1.776269300395393,1,3.794444444444444,6
319,floor2,lecture_studio,Derslik / Stüdyo,30.723,23.2,688.777,43.695,2,1,S,corridor,S_SE,38.63,1.776269300395393,1,3.794444444444444,6
320,floor2,circulation,Merdiven sahanlığı,18.762,17.35,694.827,43.695,1,0,interior,corridor,S_SE,33.31,2.757603265737291,44,2.8,5
CATI_1,floor2,lecture_studio,Çatı 1 Stüdyosu,194.58,57.91,686.794,33.802,1,2,S,corridor,S_SE,37.32,1.776269300395393,1,3.794444444444444,6
CATI_2,floor2,lecture_studio,Çatı 2 Stüdyosu,196.069,58.19,668.376,33.802,1,2,S,corridor,S_SE,55.51,1.776269300395393,1,3.794444444444444,6
CATI_3,floor2,lecture_studio,Çatı 3 Stüdyosu,157.714,50.95,651.696,33.802,1,2,S,corridor,S_SW,54.53,1.830867742005907,1,3.711111111111111,6
CATI_4,floor2,lecture_studio,Çatı 4 Stüdyosu,78.614,36.04,640.554,33.802,1,2,S,corridor,S_SW,43.51,1.830867742005907,1,3.711111111111111,6
CATI_5,floor2,lecture_studio,Çatı 5 Stüdyosu,158.206,55.57,629.086,33.289,1,2,SW,corridor,S_SW,32.15,1.830867742005907,1,3.711111111111111,6
323,floor2,office,Yazı İşleri,16.446,16.29,709.979,26.6,1,1,E,corridor,S_SE,13.44,1.776269300395393,1,3.794444444444444,6
324,floor2,office,Yazı İşleri,17.976,16.98,714.327,26.6,1,1,E,corridor,S_SE,9.09,1.776269300395393,1,3.794444444444444,6
325,floor2,administrative,Dekanlık,17.976,16.98,718.879,26.6,1,2,E,corridor,S_SE,4.54,1.776269300395393,1,3.794444444444444,6
326,floor2,meeting,Toplantı Salonu,44.783,28.98,723.379,29.381,1,2,E,corridor,S_SE,2.78,1.776269300395393,1,3.794444444444444,6
327,floor2,administrative,Dekanlık,20.583,18.15,723.379,37.079,1,2,E,corridor,S_SE,10.48,1.776269300395393,1,3.794444444444444,6
328,floor2,administrative,Dekanlık,19.498,17.66,723.416,42.131,1,2,E,corridor,S_SE,15.53,1.776269300395393,1,3.794444444444444,6
329,floor2,administrative,Dekanlık,31.65,23.3,721.947,46.855,1,2,E,corridor,S_SE,20.31,1.776269300395393,1,3.794444444444444,6
330,floor2,office,Erasmus Ofisi / Staj,28.451,21.82,714.682,46.855,1,2,E,corridor,S_SE,22.06,1.776269300395393,1,3.794444444444444,6
331,floor2,faculty_room,İç Mimarlık Bölümü,76.847,37.25,712.445,55.666,2,2,E,corridor,S_SE,31.07,1.776269300395393,1,3.794444444444444,6
332,floor2,virtual_studio,Sanal Mimari Stüdyosu,54.036,29.67,712.13,63.552,2,2,E,corridor,S_NE,52.68,1.776269300395393,1,3.794444444444444,6
333,floor2,lecture_studio,Derslik / Stüdyo,77.774,35.31,712.13,71.382,1,3,E,corridor,S_NE,45.06,1.776269300395393,1,3.794444444444444,6
334,floor2,lecture_studio,Derslik / Stüdyo,71.864,33.91,712.13,80.272,2,2,E,corridor,S_NE,36.52,1.776269300395393,1,3.794444444444444,6
335,floor2,faculty_room,Peyzaj Mimarlığı Bölümü,49.99,31.49,712.74,87.777,1,2,E,corridor,S_NE,29.25,1.776269300395393,1,3.794444444444444,6
336,floor2,office,İdari Faks ve Fotokopi,12.004,14.58,702.603,51.838,1,0,interior,corridor,S_SE,32.71,1.776269300395393,1,3.794444444444444,6
337A,floor2,office,Staj Ofisi,17.057,16.7,702.603,54.879,1,0,interior,corridor,S_SE,35.11,1.776269300395393,1,3.794444444444444,6
337B,floor2,office,Staj Ofisi,19.052,17.53,702.603,58.657,1,0,interior,corridor,S_SE,38.22,1.776269300395393,1,3.794444444444444,6
338,floor2,office,Öğrenci İşleri,20.19,18.01,702.603,62.763,1,0,interior,corridor,S_SE,41.72,1.776269300395393,1,3.794444444444444,6
339,floor2,office,Öğrenci İşleri,41.681,27.0,702.603,69.237,2,0,interior,corridor,S_SE,47.45,1.776269300395393,1,3.794444444444444,6
340,floor2,office,Özlük İşleri,35.601,24.46,702.603,77.323,1,1,E,corridor,S_NE,43.05,1.776269300395393,1,3.794444444444444,6
341A,floor2,office,Satın Alma,17.655,16.95,702.603,82.895,1,1,E,corridor,S_NE,38.27,1.776269300395393,1,3.794444444444444,6
341B,floor2,office,Ayniyat,17.493,16.88,702.603,86.573,1,1,E,corridor,S_NE,35.24,1.776269300395393,1,3.794444444444444,6
342,floor2,office,Hesap İşleri,9.698,13.62,702.603,89.418,1,1,E,corridor,S_NE,32.98,2.256220853785056,2,3.2,5
343,floor2,office,Ofis,28.451,21.82,714.682,94.75,2,1,E,corridor,S_NE,22.06,1.776269300395393,1,3.794444444444444,6
344,floor2,administrative,Mimarlık Böl. Başkanlığı,31.65,23.3,721.947,94.75,2,2,NE,corridor,S_NE,20.31,1.776269300395393,1,3.794444444444444,6
345,floor2,administrative,Mimarlık Böl. Başkanlığı,19.498,17.66,723.416,99.474,2,2,N,corridor,S_NE,15.53,1.776269300395393,1,3.794444444444444,6
346,floor2,administrative,İç Mimarlık Böl. Başkanlığı,20.583,18.15,723.379,104.527,3,2,N,corridor,S_NE,10.48,1.776269300395393,1,3.794444444444444,6
347,floor2,administrative,Endüstriyel Tas. Böl. Başkanlığı,44.783,28.98,723.379,112.224,2,2,N,corridor,S_NE,2.78,1.776269300395393,1,3.794444444444444,6
348,floor2,administrative,Peyzaj Böl. Başkanlığı,23.226,19.34,718.29,115.005,1,2,N,corridor,S_NE,5.13,1.776269300395393,1,3.794444444444444,6
349,floor2,administrative,Şehir Böl. Pl. Böl. Başkanlığı,20.448,18.09,712.866,115.005,1,2,N,corridor,S_NE,10.55,1.776269300395393,1,3.794444444444444,6
350,floor2,administrative,Şehir Böl. Pl. Böl. Başkanlığı,19.394,17.62,708.005,115.005,1,2,N,corridor,S_NE,15.41,1.776269300395393,1,3.794444444444444,6
3400,floor2,lecture_studio,Büyük Derslik (kuzey),636.148,169.53,660.936,107.192,10,6,N,corridor,S_NW,63.77,1.776269300395393,1,3.794444444444444,6
3401,floor2,lecture_studio,Derslik,56.14,31.33,693.796,97.884,3,2,N,corridor,S_NE,34.21,1.776269300395393,1,3.794444444444444,6
3402,floor2,lecture_studio,Derslik,57.223,31.72,683.582,97.884,3,2,N,corridor,S_NE,43.36,1.776269300395393,1,3.794444444444444,6
3403,floor2,lecture_studio,Derslik,55.59,31.13,673.417,97.884,3,2,N,corridor,S_NW,77.69,1.776269300395393,1,3.794444444444444,6
3404,floor2,lecture_studio,Derslik,84.216,41.45,660.821,97.884,3,2,N,corridor,S_NW,65.46,1.776269300395393,1,3.794444444444444,6
3405,floor2,lecture_studio,Derslik,56.433,31.44,648.148,97.884,3,2,N,corridor,S_NW,53.33,1.830867742005907,1,3.711111111111111,6
3406,floor2,lecture_studio,Derslik,56.487,31.46,637.974,97.884,3,2,N,corridor,S_NW,43.82,1.830867742005907,1,3.711111111111111,6
3407,floor2,lecture_studio,Derslik,56.438,31.44,627.799,97.884,3,2,N,corridor,S_NW,34.68,1.830867742005907,1,3.711111111111111,6
373,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,19.394,17.62,614.063,115.005,2,1,N,corridor,S_NW,16.42,1.830867742005907,1,3.711111111111111,6
374,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,20.448,18.09,609.202,115.005,3,1,N,corridor,S_NW,11.56,1.830867742005907,1,3.711111111111111,6
375,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,23.226,19.34,603.778,115.005,2,1,N,corridor,S_NW,6.14,1.830867742005907,1,3.711111111111111,6
376A,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,12.394,15.18,597.642,109.745,3,1,NW,corridor,S_NW,5.26,2.290931943843288,2,3.166666666666667,5
376B,floor2,office,Bölge Bil. Tr. Milli Kom.,19.92,17.85,598.689,115.005,1,1,NW,corridor,S_NW,1.05,1.830867742005907,1,3.711111111111111,6
377,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,20.583,18.15,598.689,104.527,2,1,W,corridor,S_NW,10.53,1.830867742005907,1,3.711111111111111,6
378,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,19.498,17.66,598.652,99.474,2,1,W,corridor,S_NW,15.56,1.830867742005907,1,3.711111111111111,6
379,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,31.65,23.3,600.121,94.75,2,1,W,corridor,S_NW,20.41,1.830867742005907,1,3.711111111111111,6
380,floor2,faculty_room,Şehir ve Bölge Pl. Böl.,28.451,21.82,607.386,94.75,1,1,W,corridor,S_NW,22.48,1.830867742005907,1,3.711111111111111,6
3501,floor2,lecture_studio,Derslik / Stüdyo,24.303,21.29,617.566,89.473,2,1,W,corridor,S_NW,32.39,1.830867742005907,1,3.711111111111111,6
3502,floor2,lecture_studio,Derslik / Stüdyo,61.601,31.47,617.566,83.611,3,1,W,corridor,S_NW,37.18,1.830867742005907,1,3.711111111111111,6
3503,floor2,lecture_studio,Derslik / Stüdyo,63.152,31.89,617.566,75.098,3,1,W,corridor,S_NW,44.6,1.830867742005907,1,3.711111111111111,6
3504,floor2,lecture_studio,Derslik / Stüdyo,62.005,31.58,617.566,66.558,3,1,W,corridor,S_NW,52.38,1.830867742005907,1,3.711111111111111,6
3505,floor2,lecture_studio,Derslik / Stüdyo,61.597,31.47,617.566,58.124,3,1,W,corridor,S_SW,37.29,1.830867742005907,1,3.711111111111111,6
3506,floor2,lecture_studio,Derslik / Stüdyo,24.442,21.33,617.566,52.253,2,1,W,corridor,S_SW,32.48,1.830867742005907,1,3.711111111111111,6
3507,floor2,faculty_room,Mimarlık Bölümü,19.189,18.2,608.157,89.473,1,1,W,corridor,S_NW,27.61,1.830867742005907,1,3.711111111111111,6
3508,floor2,faculty_room,Mimarlık Bölümü,15.727,17.01,608.157,86.455,1,1,W,corridor,S_NW,30.42,1.830867742005907,1,3.711111111111111,6
3509,floor2,faculty_room,Mimarlık Bölümü,16.619,17.32,608.157,83.66,1,1,W,corridor,S_NW,33.06,1.830867742005907,1,3.711111111111111,6
3510,floor2,faculty_room,Mimarlık Bölümü,16.293,17.2,608.157,80.816,1,1,W,corridor,S_NW,35.77,1.830867742005907,1,3.711111111111111,6
3511A,floor2,faculty_room,Mimarlık Bölümü,25.206,20.28,608.157,77.229,1,1,W,corridor,S_NW,39.21,1.830867742005907,1,3.711111111111111,6
3511B,floor2,faculty_room,Mimarlık Bölümü,24.658,20.1,608.157,72.92,1,1,W,corridor,S_NW,43.38,1.830867742005907,1,3.711111111111111,6
3512A,floor2,faculty_room,Mimarlık Bölümü,24.915,20.18,608.157,68.636,1,1,W,corridor,S_NW,47.55,1.830867742005907,1,3.711111111111111,6
3512B,floor2,faculty_room,Mimarlık Bölümü,24.043,19.88,608.157,64.405,1,1,W,corridor,S_SW,39.24,1.830867742005907,1,3.711111111111111,6
3513,floor2,faculty_room,Mimarlık Bölümü,16.474,17.27,608.157,60.903,1,1,W,corridor,S_SW,35.88,1.830867742005907,1,3.711111111111111,6
3514,floor2,faculty_room,Mimarlık Bölümü,16.169,17.16,608.157,58.082,1,1,W,corridor,S_SW,33.19,1.830867742005907,1,3.711111111111111,6
3515,floor2,faculty_room,Mimarlık Bölümü,15.993,17.1,608.157,55.303,1,1,W,corridor,S_SW,30.57,1.830867742005907,1,3.711111111111111,6
